Year,Period,Area,Income Source,Income Type,Income
2022,Annual,California,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$77,036"
2022,Annual,California,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,006,647,281"
2021,Annual,California,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$76,991"
2021,Annual,California,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,013,676,929"
2020,Annual,California,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$70,061"
2020,Annual,California,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,767,521,379"
2019,Annual,California,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$64,174"
2019,Annual,California,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,537,950,599"
2018,Annual,California,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$60,984"
2018,Annual,California,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,411,055,136"
2017,Annual,California,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$58,214"
2017,Annual,California,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,295,048,653"
2016,Annual,California,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$55,863"
2016,Annual,California,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,191,138,011"
2015,Annual,California,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$53,817"
2015,Annual,California,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,097,049,575"
2014,Annual,California,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$53,949"
2014,Annual,California,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,103,669,473"
2022,Annual,Alameda County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$97,754"
2022,Annual,Alameda County,U.S. BEA - Local Data,Total Personal Income - BEA,"$159,241,119"
2021,Annual,Alameda County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$98,657"
2021,Annual,Alameda County,U.S. BEA - Local Data,Total Personal Income - BEA,"$162,176,203"
2020,Annual,Alameda County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$87,561"
2020,Annual,Alameda County,U.S. BEA - Local Data,Total Personal Income - BEA,"$147,136,291"
2019,Annual,Alameda County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$79,878"
2019,Annual,Alameda County,U.S. BEA - Local Data,Total Personal Income - BEA,"$134,505,557"
2018,Annual,Alameda County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$74,193"
2018,Annual,Alameda County,U.S. BEA - Local Data,Total Personal Income - BEA,"$124,671,796"
2017,Annual,Alameda County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$69,258"
2017,Annual,Alameda County,U.S. BEA - Local Data,Total Personal Income - BEA,"$115,789,437"
2016,Annual,Alameda County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$65,215"
2016,Annual,Alameda County,U.S. BEA - Local Data,Total Personal Income - BEA,"$108,327,158"
2015,Annual,Alameda County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$61,618"
2015,Annual,Alameda County,U.S. BEA - Local Data,Total Personal Income - BEA,"$101,231,136"
2014,Annual,Alameda County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$37,285"
2014,Annual,Alameda County,U.S. BEA - Local Data,Total Personal Income - BEA,"$101,953"
2022,Annual,Alpine County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$67,551"
2022,Annual,Alpine County,U.S. BEA - Local Data,Total Personal Income - BEA,"$80,386"
2021,Annual,Alpine County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$69,869"
2021,Annual,Alpine County,U.S. BEA - Local Data,Total Personal Income - BEA,"$86,288"
2020,Annual,Alpine County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$74,088"
2020,Annual,Alpine County,U.S. BEA - Local Data,Total Personal Income - BEA,"$89,202"
2019,Annual,Alpine County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$79,397"
2019,Annual,Alpine County,U.S. BEA - Local Data,Total Personal Income - BEA,"$94,006"
