Year,Period,Area,Population Source,Population
2022,Annual,California,California Dept of Finance,"39,146,273"
2021,Annual,California,California Dept of Finance,"39,246,702"
2020,Annual,California,California Dept of Finance,"39,541,722"
2019,Annual,California,California Dept of Finance,"39,529,566"
2018,Annual,California,California Dept of Finance,"39,476,064"
2017,Annual,California,California Dept of Finance,"39,328,926"
2016,Annual,California,California Dept of Finance,"39,127,855"
2015,Annual,California,California Dept of Finance,"38,913,507"
2014,Annual,California,California Dept of Finance,"38,499,378"
2022,Annual,Alameda County,California Dept of Finance,"1,649,975"
2021,Annual,Alameda County,California Dept of Finance,"1,657,465"
2020,Annual,Alameda County,California Dept of Finance,"1,680,487"
2019,Annual,Alameda County,California Dept of Finance,"1,678,926"
2018,Annual,Alameda County,California Dept of Finance,"1,669,659"
2017,Annual,Alameda County,California Dept of Finance,"1,659,750"
2016,Annual,Alameda County,California Dept of Finance,"1,647,332"
2015,Annual,Alameda County,California Dept of Finance,"1,630,159"
2014,Annual,Alameda County,California Dept of Finance,"1,583,979"
2022,Annual,Alpine County,California Dept of Finance,"1,175"
2021,Annual,Alpine County,California Dept of Finance,"1,180"
2020,Annual,Alpine County,California Dept of Finance,"1,202"
2019,Annual,Alpine County,California Dept of Finance,"1,205"
2018,Annual,Alpine County,California Dept of Finance,"1,208"
2017,Annual,Alpine County,California Dept of Finance,"1,211"
2016,Annual,Alpine County,California Dept of Finance,"1,207"
2015,Annual,Alpine County,California Dept of Finance,"1,201"
2014,Annual,Alpine County,California Dept of Finance,"1,112"
2022,Annual,Amador County,California Dept of Finance,"40,105"
2021,Annual,Amador County,California Dept of Finance,"40,262"
2020,Annual,Amador County,California Dept of Finance,"40,440"
2019,Annual,Amador County,California Dept of Finance,"40,279"
2018,Annual,Amador County,California Dept of Finance,"40,038"
2017,Annual,Amador County,California Dept of Finance,"38,549"
2016,Annual,Amador County,California Dept of Finance,"37,929"
2015,Annual,Amador County,California Dept of Finance,"36,905"
2014,Annual,Amador County,California Dept of Finance,"36,099"
2022,Annual,Butte County,California Dept of Finance,"206,498"
2021,Annual,Butte County,California Dept of Finance,"206,121"
2020,Annual,Butte County,California Dept of Finance,"210,349"
2019,Annual,Butte County,California Dept of Finance,"226,714"
2018,Annual,Butte County,California Dept of Finance,"234,627"
2017,Annual,Butte County,California Dept of Finance,"233,080"
2016,Annual,Butte County,California Dept of Finance,"230,681"
2015,Annual,Butte County,California Dept of Finance,"229,359"
2014,Annual,Butte County,California Dept of Finance,"223,905"
2022,Annual,Calaveras County,California Dept of Finance,"44,769"
2021,Annual,Calaveras County,California Dept of Finance,"45,011"
2020,Annual,Calaveras County,California Dept of Finance,"45,262"
2019,Annual,Calaveras County,California Dept of Finance,"45,285"
2018,Annual,Calaveras County,California Dept of Finance,"45,365"
2017,Annual,Calaveras County,California Dept of Finance,"45,354"
2016,Annual,Calaveras County,California Dept of Finance,"45,365"
2015,Annual,Calaveras County,California Dept of Finance,"45,414"
2014,Annual,Calaveras County,California Dept of Finance,"45,079"
2022,Annual,Colusa County,California Dept of Finance,"21,814"
2021,Annual,Colusa County,California Dept of Finance,"21,884"
2020,Annual,Colusa County,California Dept of Finance,"21,867"
2019,Annual,Colusa County,California Dept of Finance,"21,745"
2018,Annual,Colusa County,California Dept of Finance,"21,690"
2017,Annual,Colusa County,California Dept of Finance,"21,792"
2016,Annual,Colusa County,California Dept of Finance,"21,677"
2015,Annual,Colusa County,California Dept of Finance,"21,455"
2014,Annual,Colusa County,California Dept of Finance,"21,606"
2022,Annual,Contra Costa County,California Dept of Finance,"1,150,114"
2021,Annual,Contra Costa County,California Dept of Finance,"1,159,901"
2020,Annual,Contra Costa County,California Dept of Finance,"1,167,327"
2019,Annual,Contra Costa County,California Dept of Finance,"1,162,287"
2018,Annual,Contra Costa County,California Dept of Finance,"1,158,017"
2017,Annual,Contra Costa County,California Dept of Finance,"1,149,457"
2016,Annual,Contra Costa County,California Dept of Finance,"1,141,566"
2015,Annual,Contra Costa County,California Dept of Finance,"1,128,317"
2014,Annual,Contra Costa County,California Dept of Finance,"1,096,637"
2022,Annual,Del Norte County,California Dept of Finance,"26,738"
2021,Annual,Del Norte County,California Dept of Finance,"27,368"
2020,Annual,Del Norte County,California Dept of Finance,"27,645"
2019,Annual,Del Norte County,California Dept of Finance,"27,604"
2018,Annual,Del Norte County,California Dept of Finance,"27,572"
2017,Annual,Del Norte County,California Dept of Finance,"26,898"
2016,Annual,Del Norte County,California Dept of Finance,"27,070"
2015,Annual,Del Norte County,California Dept of Finance,"27,113"
2014,Annual,Del Norte County,California Dept of Finance,"28,219"
2022,Annual,El Dorado County,California Dept of Finance,"189,386"
2021,Annual,El Dorado County,California Dept of Finance,"191,437"
2020,Annual,El Dorado County,California Dept of Finance,"191,522"
2019,Annual,El Dorado County,California Dept of Finance,"187,905"
2018,Annual,El Dorado County,California Dept of Finance,"187,122"
2017,Annual,El Dorado County,California Dept of Finance,"184,800"
2016,Annual,El Dorado County,California Dept of Finance,"182,937"
2015,Annual,El Dorado County,California Dept of Finance,"182,205"
2014,Annual,El Dorado County,California Dept of Finance,"183,957"
2022,Annual,Fresno County,California Dept of Finance,"1,011,462"
2021,Annual,Fresno County,California Dept of Finance,"1,010,417"
2020,Annual,Fresno County,California Dept of Finance,"1,007,436"
2019,Annual,Fresno County,California Dept of Finance,"1,001,640"
2018,Annual,Fresno County,California Dept of Finance,"993,965"
2017,Annual,Fresno County,California Dept of Finance,"985,393"
2016,Annual,Fresno County,California Dept of Finance,"977,361"
2015,Annual,Fresno County,California Dept of Finance,"970,859"
2014,Annual,Fresno County,California Dept of Finance,"967,491"
2022,Annual,Glenn County,California Dept of Finance,"28,449"
2021,Annual,Glenn County,California Dept of Finance,"28,709"
2020,Annual,Glenn County,California Dept of Finance,"28,854"
